covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p
Unnamed: 0,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,-2.44,0.01
age,0.04,1.04,0.02,0.01,0.07,1.01,1.07,0.00,2.42,0.02
fin,0.26,1.30,0.14,-0.01,0.53,0.99,1.71,0.00,1.92,0.05
mar,0.35,1.42,0.27,-0.18,0.88,0.83,2.41,0.00,1.29,0.20
paro,0.05,1.05,0.14,-0.23,0.32,0.80,1.38,0.00,0.33,0.74
prio,-0.07,0.93,0.02,-0.12,-0.03,0.89,0.97,0.00,-3.51,0.00
race,-0.25,0.78,0.22,-0.68,0.18,0.51,1.20,0.00,-1.14,0.26
wexp,0.11,1.12,0.15,-0.18,0.41,0.83,1.50,0.00,0.74,0.46
Intercept,4.41,82.03,0.45,3.52,5.30,33.65,199.98,0.00,9.69,0.00
Intercept,0.34,1.41,0.09,0.17,0.52,1.19,1.68,0.00,3.87,0.00
